REGION;COUNTRY1;COUNTRY2;L_PREMIUMS_2022;L_PREMIUMS_2021;L_DELTA;NL_PREMIUMS_2022_SUM;NL_PREMIUMS_2021;NL_DELTA;ASSISTANCE;CS;FIRE_PROPERTY;GEN_LIABILITY;INC_PROTECT;LEGAL_EXP;MAT;MED_EXP;MISC_FIN;MTPL;OTHER_MOTOR;WORKERS_COMP;SUM_OF_VALUE_EUR;VALUE_EUR_MN;GDP;GWP_GDP;COR;CLAIMS_RATIO;COST_RATIO;POPULATION;;
Western Europe;AT;AUT;7965649928;7930779027;0.004396907;12850223559;11838409774;0.085468725;0.000814173;0.006850498;0.32403296;0.082698928;0.125114919;0.048470386;0.011379072;0.00440031;0.015063372;0.223142367;0.158033015;0;11724654359;11724.65436;446933.3;0.026233566;1.038999704;0.624329587;0.414670116;9041851;;
Western Europe;BE;BEL;17396230880;17388928544;0.000419942;26776183599;24004109624;0.115483308;0.029213647;0.098298486;0.228184897;0.140320141;0.026848273;0.026803909;0.064462475;0.093402487;0.024976894;0.123984023;0.087020755;0.056484014;13594371543;13594.37154;549456.2;0.024741502;1.158109768;0.69179915;0.466310618;11685814;;
Eastern Europe;BG;BGR;231383818.3;203439013.6;0.137362073;2498950965;2409521513;0.037115026;0.035109009;0.036132361;0.197723944;0.054080783;0.036922891;0.000634413;0.026054511;0.037096793;0.003233726;0.332749862;0.233999886;0.006261821;952798840.5;952.7988405;84560.6;0.011267645;1.118919201;0.54312901;0.575790192;6465097;;
Southern Europe;CY;CYP;502916446.6;434283170.8;0.158038074;714563105.2;645743191.8;0.106574741;0.020289516;0.019291588;0.175727576;0.073483608;0.009031146;0.007871971;0.159646032;0.193853485;0.01001075;0.240906596;0.088568983;0.001318749;494652915.3;494.6529153;27006.4;0.018316137;1.127791655;0.545424539;0.582367117;1251488;;
Eastern Europe;CZ;CZE;1966989683;1795490987;0.095516323;6419348770;5470438718;0.173461417;0.01318005;0.00724828;0.275908127;0.076051836;0.07969624;0.001035395;0.010019376;0.023025073;0.014648152;0.230444154;0.211900646;0.05684267;7537054864;7537.054864;276229.4;0.027285491;1.042671448;0.516170307;0.526501141;10672118;;
Western Europe;DE;DEU;1.57E+11;1.64E+11;-0.045152479;1.78E+11;1.59E+11;0.125159812;0.004084688;0.024820128;0.359447807;0.147430304;0.050310134;0.040137884;0.041802003;0.016783357;0.025069659;0.168902131;0.120040586;0.001171319;88099060155;88099.06016;3876810;0.022724627;1.167186032;0.683845919;0.483340113;83797985;;
Northern Europe;DK;DNK;30379931348;29796138716;0.019592896;10364681272;10392455037;-0.002672493;0.023726572;0.009681324;0.324913651;0.055307264;0.131155525;0.001157845;0.023603405;0.099075163;0.020797065;0.065182008;0.200030791;0.045369387;7672518455;7672.518455;380617.8;0.020158065;1.000331182;0.676338232;0.323992949;5903037;;
Northern Europe;EE;EST;282307176.3;268172899.7;0.052705835;674503333.7;556209346;0.212678893;0.005226722;0.013122681;0.239463302;0.041973286;0.02677022;0.002236022;0.013100556;0.113486344;0.027232756;0.24971427;0.267673841;0;543561822.1;543.5618221;36181.4;0.015023239;1.180570831;0.731171774;0.449399057;1348840;;
Southern Europe;ES;ESP;26550788320;25855046571;0.026909321;44140330296;41187459376;0.071693447;0.017158711;0.063204881;0.295823092;0.035063778;0.028422812;0.004972845;0.021116011;0.244179652;0.007495138;0.15653497;0.124753961;0.001274146;22193053078;22193.05308;1327108;0.016722869;1.167373553;0.709969729;0.457403824;47778340;;
Northern Europe;FI;FIN;4377874716;5120049957;-0.144954687;4071808302;3957153097;0.028974164;0;0.007783496;0.232794107;0.056119323;0.017954449;0.021291342;0.039983579;0.147977786;0.025195266;0.147214698;0.189836117;0.113849837;3988207099;3988.207099;268650;0.014845364;1.014808432;0.664713459;0.350094973;5556106;;
